196,321,196,281,249,281,249,321,NHIỆT
251,281,292,279,293,318,252,319,LIỆT
576,297,576,285,585,285,585,297,-
295,310,295,278,343,278,343,310,CHÀO
348,308,348,277,400,277,400,308,MỪNG
448,311,448,276,487,276,487,311,HỌC
402,276,446,274,447,306,403,308,NĂM
530,276,577,276,577,303,530,303,2013
587,301,587,272,636,272,636,301,2014
489,271,527,271,527,305,489,305,MỚI
715,240,715,229,740,229,740,240,ĐT:
741,238,741,228,779,228,779,238,0563
784,227,835,223,836,234,785,237,889314
221,208,341,202,343,238,223,244,TRƯỜNG
352,205,456,200,458,235,353,240,TRUNG
465,243,465,192,535,192,535,243,HỌC
543,231,543,188,592,188,592,231,CƠ
654,187,744,185,745,223,655,224,CANH
755,183,834,180,835,217,757,221,VINH
220,187,258,187,258,201,220,201,PHÒNG
597,229,597,178,647,178,647,229,SỞ
262,188,278,185,280,198,264,201,GD
286,199,286,184,304,184,304,199,ĐT
304,182,326,180,328,198,306,200,VÂN
328,181,360,179,361,196,329,198,CÁNH
